ACTECON;GRUANALI;antigüedad;TAMAEMP;nrotrab;riesgo;categoria;target;modular;prom_antes;cant_antes
ACT_ECON_8;GRU_AN_4;28;TAMA__2;13;RIESGO__0;CATEGORIA__0;4;MODULAR__2;703.82005;1
ACT_ECON_8;GRU_AN_4;28;TAMA__2;13;RIESGO__0;CATEGORIA__0;4;MODULAR__1;-2043.1555;1
ACT_ECON_5;GRU_AN_13;53;TAMA__2;25;RIESGO__3;CATEGORIA__0;4;MODULAR__2;0;0
ACT_ECON_38;GRU_AN_12;29;TAMA__2;262;RIESGO__2;CATEGORIA__0;1;MODULAR__2;0;0
ACT_ECON_64;GRU_AN_9;27;TAMA__2;103;RIESGO__1;CATEGORIA__6;1;MODULAR__2;335.622566666667;9
ACT_ECON_15;GRU_AN_6;17;TAMA__2;68;RIESGO__3;CATEGORIA__1;1;MODULAR__2;20018.087;10
ACT_ECON_15;GRU_AN_6;17;TAMA__2;68;RIESGO__3;CATEGORIA__1;4;MODULAR__2;20019.1805666667;11
ACT_ECON_2;GRU_AN_6;26;TAMA__2;905;RIESGO__3;CATEGORIA__1;2;MODULAR__2;536.539633333333;8
ACT_ECON_5;GRU_AN_13;18;TAMA__2;52;RIESGO__3;CATEGORIA__0;4;MODULAR__2;534.0877;7
ACT_ECON_5;GRU_AN_13;18;TAMA__2;52;RIESGO__3;CATEGORIA__0;2;MODULAR__2;534.0877;6
ACT_ECON_23;GRU_AN_2;8;TAMA__1;24;RIESGO__1;CATEGORIA__6;3;MODULAR__2;364.1104;5
ACT_ECON_33;GRU_AN_9;13;TAMA__2;245;RIESGO__2;CATEGORIA__6;4;MODULAR__2;534.0877;4
ACT_ECON_33;GRU_AN_9;13;TAMA__2;245;RIESGO__2;CATEGORIA__6;4;MODULAR__2;698.295733333333;3
ACT_ECON_5;GRU_AN_13;7;TAMA__2;65;RIESGO__3;CATEGORIA__0;4;MODULAR__2;576.9256;2
ACT_ECON_5;GRU_AN_13;7;TAMA__2;65;RIESGO__3;CATEGORIA__0;4;MODULAR__2;428.36725;1
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;0;0
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;29443.5488333333;10
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;14369.5628;19
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;9982.08063333333;18
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;6818.75143333333;17
ACT_ECON_24;GRU_AN_4;19;TAMA__2;19;RIESGO__2;CATEGORIA__4;3;MODULAR__2;1676.99506666667;16
ACT_ECON_24;GRU_AN_4;6;TAMA__2;16;RIESGO__2;CATEGORIA__4;1;MODULAR__2;174.257633333333;15
ACT_ECON_27;GRU_AN_4;24;TAMA__2;13;RIESGO__1;CATEGORIA__7;1;MODULAR__2;3784.48323333333;14
ACT_ECON_14;GRU_AN_4;37;TAMA__2;88;RIESGO__1;CATEGORIA__5;1;MODULAR__2;3735.24106666667;13
ACT_ECON_12;GRU_AN_4;8;TAMA__2;26;RIESGO__3;CATEGORIA__4;1;MODULAR__2;15554.4035;12
ACT_ECON_24;GRU_AN_4;13;TAMA__2;11;RIESGO__2;CATEGORIA__4;1;MODULAR__2;52318.4694;11
ACT_ECON_24;GRU_AN_4;13;TAMA__2;11;RIESGO__2;CATEGORIA__4;1;MODULAR__2;-14810.5581333333;8
ACT_ECON_24;GRU_AN_4;13;TAMA__2;11;RIESGO__2;CATEGORIA__4;4;MODULAR__2;45419.0302;9
ACT_ECON_24;GRU_AN_4;13;TAMA__2;11;RIESGO__2;CATEGORIA__4;3;MODULAR__2;-682.111966666667;6
ACT_ECON_12;GRU_AN_4;5;TAMA__2;81;RIESGO__3;CATEGORIA__4;1;MODULAR__2;23886.3957;5
ACT_ECON_12;GRU_AN_4;5;TAMA__2;81;RIESGO__3;CATEGORIA__4;4;MODULAR__2;14357.3357;7
ACT_ECON_33;GRU_AN_9;0;TAMA__2;850;RIESGO__2;CATEGORIA__6;1;MODULAR__2;22421.1633333333;4
ACT_ECON_33;GRU_AN_9;0;TAMA__2;850;RIESGO__2;CATEGORIA__6;1;MODULAR__2;44427.2379;3
ACT_ECON_33;GRU_AN_9;0;TAMA__2;850;RIESGO__2;CATEGORIA__6;1;MODULAR__2;39687.3248;2
ACT_ECON_93;GRU_AN_4;18;TAMA__2;86;RIESGO__1;CATEGORIA__6;1;MODULAR__2;52284.701;1
ACT_ECON_93;GRU_AN_4;18;TAMA__2;86;RIESGO__1;CATEGORIA__6;2;MODULAR__2;0;0
ACT_ECON_12;GRU_AN_4;12;TAMA__2;90;RIESGO__3;CATEGORIA__4;2;MODULAR__2;1072.8405;6
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;4;MODULAR__2;1237.35063333333;13
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1971.1823;11
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1534.30416666667;9
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1546.6823;8
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;-2160.073;4
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;266.807233333333;3
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;2757.4547;2
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;3913.9904;1
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1638.45556666667;10
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1686.0812;12
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1131.54856666667;14
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;1248.14236666667;7
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;-2107.50163333333;5
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;2967.2231;5
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;3189.96295;1
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_31;GRU_AN_3;20;TAMA__2;64;RIESGO__2;CATEGORIA__6;2;MODULAR__2;4611.6151;6
ACT_ECON_24;GRU_AN_4;8;TAMA__2;17;RIESGO__2;CATEGORIA__4;4;MODULAR__2;5027.61886666667;3
ACT_ECON_19;GRU_AN_9;21;TAMA__2;20;RIESGO__1;CATEGORIA__6;1;MODULAR__2;4689.11786666667;2
ACT_ECON_19;GRU_AN_9;21;TAMA__2;20;RIESGO__1;CATEGORIA__6;1;MODULAR__2;2903.6988;4
ACT_ECON_19;GRU_AN_9;21;TAMA__2;20;RIESGO__1;CATEGORIA__6;1;MODULAR__2;22806.92925;1
ACT_ECON_19;GRU_AN_9;21;TAMA__2;20;RIESGO__1;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_12;GRU_AN_4;14;TAMA__2;17;RIESGO__3;CATEGORIA__4;2;MODULAR__1;0;0
ACT_ECON_80;GRU_AN_4;17;TAMA__2;412;RIESGO__1;CATEGORIA__6;2;MODULAR__2;26568.01975;1
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;366.562333333333;4
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__1;369.014266666667;3
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;185.7331;1
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;247.644133333333;2
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__2;39.2603;1
ACT_ECON_9;GRU_AN_5;23;TAMA__2;327;RIESGO__2;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;1952.2846;1
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;1860.2818;4
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;1478.34563333333;3
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;130.388866666667;2
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;-127.9904;1
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__2;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__2;2628.45;1
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;995.59555;1
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_19;GRU_AN_9;17;TAMA__2;51;RIESGO__1;CATEGORIA__6;1;MODULAR__1;0;0
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;1;MODULAR__2;0;0
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;1;MODULAR__2;0;0
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;1;MODULAR__2;116.54015;1
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;1;MODULAR__2;0;0
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;1;MODULAR__2;153.8484;2
ACT_ECON_27;GRU_AN_4;25;TAMA__2;275;RIESGO__1;CATEGORIA__7;2;MODULAR__1;230.003366666667;3
ACT_ECON_16;GRU_AN_13;16;TAMA__2;144;RIESGO__0;CATEGORIA__0;1;MODULAR__1;0;0
ACT_ECON_16;GRU_AN_13;16;TAMA__2;144;RIESGO__0;CATEGORIA__0;1;MODULAR__1;0;0
ACT_ECON_91;GRU_AN_5;31;TAMA__2;10;RIESGO__2;CATEGORIA__4;1;MODULAR__1;5830400.45413333;2
ACT_ECON_91;GRU_AN_5;31;TAMA__2;10;RIESGO__2;CATEGORIA__4;1;MODULAR__1;0;1
ACT_ECON_91;GRU_AN_5;31;TAMA__2;10;RIESGO__2;CATEGORIA__4;4;MODULAR__2;16432667.8955;3
ACT_ECON_91;GRU_AN_5;31;TAMA__2;10;RIESGO__2;CATEGORIA__4;4;MODULAR__1;0;0
ACT_ECON_91;GRU_AN_5;31;TAMA__2;10;RIESGO__2;CATEGORIA__4;1;MODULAR__1;39.2603;1
ACT_ECON_17;GRU_AN_4;21;TAMA__2;27;RIESGO__3;CATEGORIA__2;4;MODULAR__1;0;0
ACT_ECON_17;GRU_AN_4;21;TAMA__2;27;RIESGO__3;CATEGORIA__2;1;MODULAR__1;0;0
ACT_ECON_8;GRU_AN_4;22;TAMA__2;30;RIESGO__0;CATEGORIA__0;1;MODULAR__1;366.562333333333;5
ACT_ECON_8;GRU_AN_4;22;TAMA__2;30;RIESGO__0;CATEGORIA__0;1;MODULAR__2;245.1922;6
ACT_ECON_96;GRU_AN_9;43;TAMA__2;74;RIESGO__1;CATEGORIA__6;2;MODULAR__2;12283.5295333333;2
ACT_ECON_96;GRU_AN_9;43;TAMA__2;74;RIESGO__1;CATEGORIA__6;2;MODULAR__1;12404.8996666667;3
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;245.1922;4
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;18425.2943;1
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;0;0
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;1449.44125;1
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;1941.09716666667;2
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;0;0
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;170.63595;1
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;-7459.86303333333;3
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__2;-14676.0856;4
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__2;0;0
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;4;MODULAR__1;39.2603;1
ACT_ECON_20;GRU_AN_4;13;TAMA__2;83;RIESGO__2;CATEGORIA__4;1;MODULAR__1;-8609.6223;2
ACT_ECON_11;GRU_AN_2;44;TAMA__1;4076;RIESGO__1;CATEGORIA__6;3;MODULAR__1;0;0
ACT_ECON_17;GRU_AN_4;35;TAMA__2;36;RIESGO__3;CATEGORIA__2;4;MODULAR__1;0;0
ACT_ECON_17;GRU_AN_4;35;TAMA__2;36;RIESGO__3;CATEGORIA__2;4;MODULAR__1;0;0
ACT_ECON_17;GRU_AN_4;35;TAMA__2;36;RIESGO__3;CATEGORIA__2;3;MODULAR__1;110283.880133333;2
ACT_ECON_17;GRU_AN_4;35;TAMA__2;36;RIESGO__3;CATEGORIA__2;3;MODULAR__1;169347.74795;1
ACT_ECON_44;GRU_AN_6;16;TAMA__2;0;RIESGO__3;CATEGORIA__1;1;MODULAR__2;8621.18325;1
ACT_ECON_44;GRU_AN_6;16;TAMA__2;0;RIESGO__3;CATEGORIA__1;1;MODULAR__1;0;0
ACT_ECON_44;GRU_AN_6;16;TAMA__2;0;RIESGO__3;CATEGORIA__1;1;MODULAR__1;0;0
ACT_ECON_8;GRU_AN_4;41;TAMA__2;210;RIESGO__0;CATEGORIA__0;1;MODULAR__1;1961.5538;6
ACT_ECON_102;GRU_AN_4;2;TAMA__2;21;RIESGO__2;CATEGORIA__3;1;MODULAR__1;4437.3187;7
ACT_ECON_23;GRU_AN_2;27;TAMA__2;1408;RIESGO__1;CATEGORIA__6;4;MODULAR__2;1971.0286;13
ACT_ECON_23;GRU_AN_2;27;TAMA__2;1408;RIESGO__1;CATEGORIA__6;4;MODULAR__2;288.764566666667;11
ACT_ECON_23;GRU_AN_2;27;TAMA__2;1408;RIESGO__1;CATEGORIA__6;4;MODULAR__1;2525.98286666667;5
ACT_ECON_23;GRU_AN_2;27;TAMA__2;1408;RIESGO__1;CATEGORIA__6;4;MODULAR__1;-540.771466666667;10
ACT_ECON_23;GRU_AN_2;27;TAMA__2;1408;RIESGO__1;CATEGORIA__6;4;MODULAR__2;642.873333333333;4
ACT_ECON_8;GRU_AN_4;18;TAMA__2;35;RIESGO__0;CATEGORIA__0;1;MODULAR__2;2221.3126;2
ACT_ECON_130;GRU_AN_10;14;TAMA__2;88;RIESGO__2;CATEGORIA__4;2;MODULAR__1;2820.061;1
ACT_ECON_130;GRU_AN_10;14;TAMA__2;88;RIESGO__2;CATEGORIA__4;4;MODULAR__1;2488.92386666667;3
ACT_ECON_27;GRU_AN_4;8;TAMA__1;242;RIESGO__1;CATEGORIA__7;2;MODULAR__2;2638.91123333333;9
ACT_ECON_8;GRU_AN_4;14;TAMA__2;48;RIESGO__0;CATEGORIA__0;4;MODULAR__1;-616.523133333333;12
ACT_ECON_8;GRU_AN_4;14;TAMA__2;48;RIESGO__0;CATEGORIA__0;4;MODULAR__1;1410.10346666667;8
ACT_ECON_8;GRU_AN_4;14;TAMA__2;48;RIESGO__0;CATEGORIA__0;1;MODULAR__1;931.989966666667;2
ACT_ECON_8;GRU_AN_4;21;TAMA__2;20;RIESGO__0;CATEGORIA__0;1;MODULAR__1;0;1
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__1;0;0
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__1;0;0
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__1;-429.52175;1
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__1;-47.8014;2
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__2;0;0
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__2;2637.58825;1
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__2;0;0
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__2;15040.9927;1
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;4;MODULAR__1;0;0
ACT_ECON_50;GRU_AN_2;27;TAMA__2;142;RIESGO__2;CATEGORIA__6;1;MODULAR__2;26.45795;1
ACT_ECON_8;GRU_AN_4;61;TAMA__2;101;RIESGO__0;CATEGORIA__0;1;MODULAR__2;0;0
ACT_ECON_8;GRU_AN_4;61;TAMA__2;101;RIESGO__0;CATEGORIA__0;4;MODULAR__2;24701.09785;1
ACT_ECON_8;GRU_AN_4;61;TAMA__2;101;RIESGO__0;CATEGORIA__0;4;MODULAR__1;0;0
